,year,SMT,VCI,TCI,VHI
401,1989 31  0.310,294.47,39.68,69.69,54.68
402,1989 32  0.307,294.78,38.48,62.72,50.6
403,1989 33  0.298,293.99,35.4,63.16,49.28
404,1989 34  0.292,293.29,36.4,60.7,48.55
405,1989 35  0.282,292.52,37.61,54.83,46.22
406,1989 36  0.269,291.23,38.34,52.16,45.25
407,1989 37  0.248,289.71,35.6,54.95,45.28
408,1989 38  0.226,287.58,33.05,61.99,47.52
409,1989 39  0.221,286.7,42.08,46.83,44.46
410,1989 40  0.217,285.87,54.14,31.55,42.85
411,1989 41  0.202,284.53,57.52,20.86,39.19
412,1989 42  0.181,282.48,50.9,24.03,37.46
413,1989 43  0.164,280.45,52.44,23.63,38.03
414,1989 44  0.155,279.18,58.77,8.69,33.73
415,1989 45  0.137,277.45,60.51,6.35,33.43
416,1989 46  0.110,274.11,55.59,14.55,35.07
417,1989 47  0.092,270.99,51.41,19.0,35.21
418,1989 48  0.081,268.75,50.54,22.67,36.6
419,1989 49  0.074,267.16,49.3,25.22,37.26
420,1989 50  0.064,264.94,43.4,33.07,38.23
421,1989 51  0.061,264.0,41.87,32.97,37.42
422,1989 52  0.062,264.96,43.76,25.23,34.49
423,1990 01  0.063,266.15,45.87,16.5,31.19
424,1990 02  0.065,267.27,44.92,13.24,29.08
425,1990 03  0.068,267.88,46.61,12.28,29.45
426,1990 04  0.071,269.07,51.17,9.71,30.44
427,1990 05  0.077,270.62,57.09,9.41,33.25
428,1990 06  0.083,272.27,60.39,8.3,34.34
429,1990 07  0.095,273.81,65.48,7.4,36.44
430,1990 08  0.109,276.15,69.89,3.96,36.93
431,1990 09  0.124,278.47,73.1,1.17,37.13
432,1990 10  0.139,280.68,75.59,0.13,37.86
433,1990 11  0.149,281.64,76.03,1.12,38.58
434,1990 12  0.158,284.3,75.38,1.37,38.37
435,1990 13  0.160,286.27,72.62,2.15,37.38
436,1990 14  0.162,287.37,68.85,4.11,36.48
437,1990 15  0.167,287.94,61.36,11.77,36.56
438,1990 16  0.177,288.14,49.84,28.36,39.1
439,1990 17  0.197,288.82,44.94,39.75,42.34
440,1990 18  0.231,289.98,47.82,49.12,48.47
441,1990 19  0.257,290.88,45.71,58.13,51.92
442,1990 20  0.272,291.52,38.22,65.56,51.89
443,1990 21  0.276,291.59,28.8,74.06,51.43
444,1990 22  0.282,291.72,24.7,78.81,51.76
445,1990 23  0.296,292.28,28.28,77.23,52.75
446,1990 24  0.314,293.2,35.44,71.77,53.61
447,1990 25  0.332,294.63,43.48,61.2,52.34
448,1990 26  0.340,295.19,46.6,57.91,52.26
449,1990 27  0.346,295.31,49.2,58.37,53.79
450,1990 28  0.352,295.17,53.95,61.44,57.69
451,1990 29  0.349,294.84,55.04,67.8,61.42
452,1990 30  0.341,294.31,55.0,73.69,64.35
453,1990 31  0.336,294.13,55.43,73.94,64.68
454,1990 32  0.327,294.33,52.26,68.17,60.21
455,1990 33  0.313,293.8,45.87,65.8,55.83
456,1990 34  0.297,292.74,40.72,67.63,54.17
457,1990 35  0.278,291.52,35.7,67.84,51.77
458,1990 36  0.260,290.08,34.05,67.39,50.72
459,1990 37  0.247,288.87,35.17,66.38,50.77
460,1990 38  0.237,287.75,39.61,59.59,49.6
461,1990 39  0.228,286.47,46.6,50.22,48.41
462,1990 40  0.217,285.19,53.41,41.68,47.55
463,1990 41  0.201,283.74,56.95,32.44,44.69
464,1990 42  0.175,281.88,45.97,31.54,38.76
465,1990 43  0.142,278.1,36.95,47.17,42.06
466,1990 44  0.116,274.93,32.39,46.14,39.27
467,1990 45  0.097,273.3,31.55,37.56,34.56
468,1990 46  0.083,271.11,34.66,34.16,34.41
469,1990 47  0.076,269.36,40.28,27.1,33.69
470,1990 48  0.069,268.02,42.64,25.26,33.95
471,1990 49  0.066,266.59,45.38,27.18,36.28
472,1990 50  0.065,266.07,47.87,27.4,37.64
473,1990 51  0.066,265.91,51.05,24.4,37.72
474,1990 52  0.068,266.25,54.69,19.87,37.28
475,1991 01  0.074,266.83,63.35,13.27,38.31
476,1991 02  0.080,267.4,65.53,11.56,38.54
477,1991 03  0.083,267.44,65.57,12.72,39.15
478,1991 04  0.077,265.44,61.69,25.93,43.81
479,1991 05  0.068,265.03,51.64,34.58,43.11
480,1991 06  0.060,266.08,39.14,35.87,37.5
481,1991 07  0.054,266.2,29.62,42.48,36.05
482,1991 08  0.051,266.73,24.03,48.54,36.28
483,1991 09  0.049,267.39,19.88,55.1,37.49
484,1991 10  0.049,269.06,15.4,59.22,37.31
485,1991 11  0.051,271.6,12.24,56.37,34.31
486,1991 12  0.057,274.5,11.28,57.2,34.24
487,1991 13  0.064,277.22,9.43,57.81,33.62
488,1991 14  0.069,279.12,5.17,61.39,33.28
489,1991 15  0.084,281.0,4.84,66.95,35.9
490,1991 16  0.105,282.68,5.78,74.73,40.26
491,1991 17  0.129,283.7,7.41,86.0,46.7
492,1991 18  0.163,285.77,10.66,90.29,50.48
493,1991 19  0.197,287.78,12.0,90.42,51.21
494,1991 20  0.231,289.29,15.37,89.41,52.39
495,1991 21  0.260,290.82,19.75,81.84,50.79
496,1991 22  0.285,292.07,26.11,74.58,50.34
497,1991 23  0.310,293.2,36.45,66.75,51.6
498,1991 24  0.330,294.75,45.37,53.63,49.5
499,1991 25  0.351,296.1,54.86,42.79,48.82
500,1991 26  0.360,296.87,58.29,36.42,47.35
501,1991 27  0.353,296.44,53.96,43.41,48.69
502,1991 28  0.348,296.02,52.25,50.61,51.43
503,1991 29  0.339,295.7,49.3,57.42,53.36
504,1991 30  0.333,295.27,50.76,63.23,56.99
505,1991 31  0.328,294.9,50.99,65.32,58.16
506,1991 32  0.323,294.43,49.72,66.33,58.02
507,1991 33  0.324,294.1,51.82,61.33,56.57
508,1991 34  0.323,294.03,55.78,50.14,52.96
509,1991 35  0.318,293.62,58.56,39.23,48.9
510,1991 36  0.303,292.45,57.64,35.13,46.38
511,1991 37  0.288,291.45,58.64,30.65,44.65
512,1991 38  0.273,290.9,60.76,14.51,37.63
513,1991 39  0.250,289.18,60.36,11.76,36.06
514,1991 40  0.223,286.89,57.63,17.36,37.5
