,year,SMT,VCI,TCI,VHI
1530,2012 05  0.069,259.67,40.64,58.75,49.7
1531,2012 06  0.071,260.79,39.68,59.84,49.76
1532,2012 07  0.072,262.19,36.54,60.56,48.55
1533,2012 08  0.076,264.4,36.0,59.11,47.55
1534,2012 09  0.082,267.04,36.11,56.68,46.39
1535,2012 10  0.092,270.17,37.04,53.42,45.23
1536,2012 11  0.107,273.65,41.38,44.96,43.17
1537,2012 12  0.124,276.65,45.52,44.98,45.25
1538,2012 13  0.141,279.77,50.48,42.85,46.67
1539,2012 14  0.160,283.06,56.0,34.94,45.47
1540,2012 15  0.182,286.13,60.37,27.05,43.71
1541,2012 16  0.211,288.98,61.69,21.61,41.65
1542,2012 17  0.249,291.72,67.18,13.23,40.2
1543,2012 18  0.286,293.53,71.31,14.02,42.67
1544,2012 19  0.316,294.73,70.93,17.6,44.26
1545,2012 20  0.334,295.27,66.71,25.5,46.11
1546,2012 21  0.342,295.4,61.12,33.37,47.24
1547,2012 22  0.368,296.33,68.62,29.9,49.26
1548,2012 23  0.381,296.85,71.29,28.62,49.96
1549,2012 24  0.387,297.13,70.71,29.1,49.91
1550,2012 25  0.391,297.43,70.15,29.8,49.97
1551,2012 26  0.391,297.64,68.73,29.49,49.11
1552,2012 27  0.392,298.35,67.71,23.57,45.64
1553,2012 28  0.389,298.7,68.38,23.4,45.89
1554,2012 29  0.379,298.75,65.48,26.84,46.16
1555,2012 30  0.372,298.55,65.66,31.13,48.39
1556,2012 31  0.366,298.1,65.52,33.62,49.57
1557,2012 32  0.362,297.4,64.16,35.62,49.89
1558,2012 33  0.355,296.28,62.9,36.49,49.69
1559,2012 34  0.346,295.12,61.95,36.53,49.24
1560,2012 35  0.336,293.91,61.91,35.71,48.81
1561,2012 36  0.333,293.36,66.62,23.84,45.23
1562,2012 37  0.325,292.64,71.3,15.6,43.45
1563,2012 38  0.308,291.29,71.51,10.95,41.23
1564,2012 39  0.285,289.58,70.12,9.07,39.59
1565,2012 40  0.260,287.92,69.09,6.73,37.91
1566,2012 41  0.230,286.41,64.14,3.81,33.97
1567,2012 42  0.200,284.35,54.83,5.28,30.06
1568,2012 43  0.176,281.95,52.02,10.05,31.03
1569,2012 44  0.157,279.74,50.68,5.75,28.21
1570,2012 45  0.142,277.44,52.02,7.63,29.83
1571,2012 46  0.127,274.88,55.3,11.23,33.27
1572,2012 47  0.109,271.49,54.32,17.69,36.01
1573,2012 48  0.090,267.35,48.21,31.25,39.73
1574,2012 49  0.073,263.05,39.54,46.39,42.96
1575,2012 50  0.062,259.78,33.54,58.27,45.9
1576,2012 51  0.053,258.13,27.5,59.56,43.53
1577,2012 52  0.050,257.73,24.66,56.5,40.58
1578,2013 01  0.048,258.27,23.78,50.32,37.05
1579,2013 02  0.046,258.4,20.48,51.39,35.93
1580,2013 03  0.044,258.16,18.05,55.73,36.89
1581,2013 04  0.043,257.82,18.18,60.26,39.22
1582,2013 05  0.043,258.22,18.72,64.14,41.43
1583,2013 06  0.046,259.29,19.45,65.09,42.27
1584,2013 07  0.050,261.04,20.64,63.94,42.29
1585,2013 08  0.056,262.83,22.18,64.57,43.38
1586,2013 09  0.063,264.81,24.12,65.09,44.6
1587,2013 10  0.071,266.36,24.72,68.86,46.79
1588,2013 11  0.080,268.21,25.69,70.75,48.22
1589,2013 12  0.092,270.31,27.54,75.69,51.61
1590,2013 13  0.107,273.65,30.84,76.48,53.66
1591,2013 14  0.129,277.56,37.34,71.75,54.55
1592,2013 15  0.161,282.31,46.97,58.99,52.98
1593,2013 16  0.202,286.83,56.63,41.07,48.85
1594,2013 17  0.245,290.46,65.01,24.79,44.9
1595,2013 18  0.289,292.97,72.85,19.61,46.23
1596,2013 19  0.321,294.72,74.11,17.76,45.94
1597,2013 20  0.344,295.79,71.88,20.21,46.05
1598,2013 21  0.362,296.67,70.45,20.4,45.43
1599,2013 22  0.376,297.51,70.56,18.39,44.48
1600,2013 23  0.386,297.96,71.84,17.92,44.88
1601,2013 24  0.392,298.29,72.69,17.5,45.09
1602,2013 25  0.395,298.5,72.58,18.93,45.75
1603,2013 26  0.394,298.48,71.29,20.84,46.06
1604,2013 27  0.389,298.31,68.41,24.58,46.49
1605,2013 28  0.382,298.07,66.77,30.2,48.48
1606,2013 29  0.379,298.01,66.33,34.48,50.4
1607,2013 30  0.375,298.17,68.56,34.59,51.58
1608,2013 31  0.370,298.07,68.37,33.43,50.9
1609,2013 32  0.361,297.56,64.8,33.47,49.14
1610,2013 33  0.351,296.56,61.26,32.84,47.05
1611,2013 34  0.336,295.27,56.69,34.39,45.54
1612,2013 35  0.315,293.27,50.75,44.18,47.46
1613,2013 36  0.294,291.28,46.22,51.28,48.75
1614,2013 37  0.270,289.42,42.66,59.24,50.95
1615,2013 38  0.253,287.28,42.34,66.78,54.56
1616,2013 39  0.232,285.78,41.7,60.77,51.24
1617,2013 40  0.215,284.01,43.51,59.41,51.46
1618,2013 41  0.195,282.81,43.03,45.36,44.2
1619,2013 42  0.179,282.49,42.75,24.42,33.58
1620,2013 43  0.159,281.05,40.7,19.07,29.88
1621,2013 44  0.140,279.23,38.68,11.94,25.31
1622,2013 45  0.124,276.96,38.86,13.56,26.21
1623,2013 46  0.115,273.84,45.61,17.24,31.42
1624,2013 47  0.104,270.98,50.65,19.29,34.97
1625,2013 48  0.097,268.79,54.47,23.34,38.91
1626,2013 49  0.091,267.31,54.21,25.37,39.79
1627,2013 50  0.088,266.39,54.03,26.24,40.13
1628,2013 51  0.084,265.22,52.99,26.74,39.86
1629,2013 52  0.082,264.02,52.49,28.05,40.27
1630,2014 01  0.081,262.52,57.42,30.76,44.09
1631,2014 02  0.083,261.23,55.65,37.47,46.56
1632,2014 03  0.087,260.88,56.27,41.74,49.01
1633,2014 04  0.093,261.52,61.33,42.37,51.85
1634,2014 05  0.101,263.27,65.55,40.79,53.17
1635,2014 06  0.108,265.8,65.95,35.63,50.79
1636,2014 07  0.114,268.91,64.77,28.07,46.42
1637,2014 08  0.124,272.53,65.9,20.18,43.04
1638,2014 09  0.140,276.22,69.27,12.84,41.06
1639,2014 10  0.156,279.46,71.9,7.99,39.94
1640,2014 11  0.173,281.97,74.79,3.36,39.08
1641,2014 12  0.188,283.91,78.03,5.51,41.77
1642,2014 13  0.202,285.42,81.61,8.72,45.17
1643,2014 14  0.217,286.85,85.23,9.55,47.39
1644,2014 15  0.238,288.18,87.6,11.2,49.4
1645,2014 16  0.262,289.56,87.42,16.3,51.86
1646,2014 17  0.289,290.92,87.32,20.19,53.75
1647,2014 18  0.310,291.96,84.13,29.53,56.83
1648,2014 19  0.329,292.75,79.71,38.79,59.25
1649,2014 20  0.341,293.24,71.83,47.71,59.77
1650,2014 21  0.353,293.71,67.45,51.5,59.48
1651,2014 22  0.354,293.8,61.9,56.64,59.27
1652,2014 23  0.364,294.48,62.81,53.28,58.04
1653,2014 24  0.370,294.91,62.59,52.44,57.52
1654,2014 25  0.372,295.49,61.92,51.5,56.71
1655,2014 26  0.370,295.96,59.56,48.9,54.23
1656,2014 27  0.373,296.7,59.39,42.16,50.77
1657,2014 28  0.376,297.26,61.7,38.49,50.1
1658,2014 29  0.376,297.95,64.03,35.17,49.6
1659,2014 30  0.373,298.27,66.67,33.77,50.22
1660,2014 31  0.363,298.19,64.83,32.37,48.6
1661,2014 32  0.355,297.88,62.59,30.04,46.31
1662,2014 33  0.348,297.1,60.69,26.6,43.64
1663,2014 34  0.342,296.0,61.34,25.75,43.54
1664,2014 35  0.340,294.96,65.48,22.89,44.19
1665,2014 36  0.341,293.8,72.38,18.83,45.61
1666,2014 37  0.337,292.62,78.09,16.49,47.29
1667,2014 38  0.325,291.15,79.82,12.63,46.22
1668,2014 39  0.308,289.07,81.03,14.15,47.59
1669,2014 40  0.289,286.9,82.66,17.59,50.12
1670,2014 41  0.267,284.87,82.52,17.22,49.87
1671,2014 42  0.240,282.48,76.11,24.21,50.16
1672,2014 43  0.214,280.15,72.72,26.57,49.64
1673,2014 44  0.187,277.76,67.53,20.86,44.2
1674,2014 45  0.162,275.05,63.86,24.28,44.07
1675,2014 46  0.137,271.98,61.58,28.28,44.93
1676,2014 47  0.114,268.98,57.87,30.01,43.94
1677,2014 48  0.098,266.39,53.98,34.97,44.47
1678,2014 49  0.090,264.71,52.16,37.1,44.63
1679,2014 50  0.088,263.75,53.44,38.72,46.08
1680,2014 51  0.089,262.87,55.27,37.95,46.61
1681,2014 52  0.090,261.73,56.93,38.81,47.87
1682,2015 01  0.090,260.55,60.72,40.11,50.42
1683,2015 02  0.088,259.92,56.43,44.7,50.56
1684,2015 03  0.082,260.23,50.62,46.07,48.34
1685,2015 04  0.083,261.07,50.7,45.61,48.16
1686,2015 05  0.083,262.3,49.19,46.24,47.72
1687,2015 06  0.084,263.67,46.66,45.96,46.31
1688,2015 07  0.091,265.87,46.86,42.56,44.71
1689,2015 08  0.101,268.53,49.95,38.45,44.2
1690,2015 09  0.113,271.05,52.63,36.19,44.41
1691,2015 10  0.125,274.42,55.15,30.94,43.05
1692,2015 11  0.144,277.84,60.63,21.25,40.94
1693,2015 12  0.162,280.65,66.01,21.37,43.69
1694,2015 13  0.179,283.17,71.87,21.0,46.44
1695,2015 14  0.196,284.88,77.38,21.43,49.4
1696,2015 15  0.214,286.78,79.43,21.01,50.22
1697,2015 16  0.243,289.18,79.81,19.39,49.6
1698,2015 17  0.277,291.53,82.16,16.17,49.17
1699,2015 18  0.308,293.22,82.65,17.91,50.28
1700,2015 19  0.330,294.25,79.95,22.55,51.25
1701,2015 20  0.351,295.55,77.02,22.55,49.78
1702,2015 21  0.370,296.9,75.93,18.57,47.25
1703,2015 22  0.378,297.69,74.15,17.18,45.67
1704,2015 23  0.383,298.46,72.51,14.0,43.26
1705,2015 24  0.383,298.8,68.96,13.21,41.09
1706,2015 25  0.382,299.03,65.96,13.93,39.94
1707,2015 26  0.374,299.22,60.5,13.96,37.23
1708,2015 27  0.368,299.33,56.01,14.94,35.48
1709,2015 28  0.364,299.53,55.83,15.74,35.79
1710,2015 29  0.365,299.69,57.58,17.9,37.74
1711,2015 30  0.368,299.94,62.52,17.89,40.2
1712,2015 31  0.368,300.09,65.85,14.02,39.94
1713,2015 32  0.359,299.92,64.04,11.04,37.54
1714,2015 33  0.354,299.51,63.12,6.5,34.81
1715,2015 34  0.345,298.58,62.22,5.67,33.94
1716,2015 35  0.334,297.34,61.48,5.5,33.49
1717,2015 36  0.323,296.02,61.99,3.27,32.63
1718,2015 37  0.313,294.33,65.1,2.82,33.96
1719,2015 38  0.306,292.18,70.05,4.16,37.11
1720,2015 39  0.294,289.99,74.13,6.02,40.07
1721,2015 40  0.275,287.6,77.05,10.65,43.85
1722,2015 41  0.250,284.49,76.42,22.59,49.5
1723,2015 42  0.220,281.72,67.24,33.14,50.19
1724,2015 43  0.186,278.58,58.48,41.16,49.82
1725,2015 44  0.150,275.4,47.43,40.54,43.99
1726,2015 45  0.117,272.03,37.22,45.63,41.43
1727,2015 46  0.099,268.58,37.08,49.3,43.19
1728,2015 47  0.089,265.9,41.56,47.47,44.52
1729,2015 48  0.085,264.42,46.38,45.88,46.13
1730,2015 49  0.082,263.78,47.94,42.48,45.21
1731,2015 50  0.083,262.95,51.17,42.81,46.99
1732,2015 51  0.084,261.36,54.01,44.34,49.18
1733,2015 52  0.085,260.33,57.17,44.09,50.63
1734,2016 01  0.085,258.93,64.46,45.28,54.87
1735,2016 02  0.085,257.65,60.03,49.77,54.9
1736,2016 03  0.088,257.99,58.99,49.27,54.13
1737,2016 04  0.091,259.13,60.57,48.75,54.66
1738,2016 05  0.092,261.24,59.72,48.18,53.95
1739,2016 06  0.094,264.32,56.29,41.75,49.02
1740,2016 07  0.098,267.26,53.33,35.39,44.36
1741,2016 08  0.100,269.46,50.38,34.1,42.24
1742,2016 09  0.102,271.3,47.85,35.15,41.5
1743,2016 10  0.108,273.35,47.02,36.38,41.7
1744,2016 11  0.118,275.76,47.98,32.27,40.12
1745,2016 12  0.131,278.72,49.82,31.92,40.87
1746,2016 13  0.143,281.7,51.48,29.93,40.7
1747,2016 14  0.159,284.12,56.36,26.64,41.5
1748,2016 15  0.186,286.82,64.1,20.47,42.28
1749,2016 16  0.217,289.35,66.74,18.36,42.55
1750,2016 17  0.248,290.62,67.63,23.12,45.38
1751,2016 18  0.269,291.18,63.52,37.57,50.54
1752,2016 19  0.290,292.24,59.5,44.27,51.88
1753,2016 20  0.304,293.12,52.52,49.32,50.92
1754,2016 21  0.313,293.6,46.66,53.38,50.02
1755,2016 22  0.323,294.22,44.95,53.16,49.05
1756,2016 23  0.335,295.02,47.39,49.02,48.21
1757,2016 24  0.344,295.85,48.87,43.77,46.32
1758,2016 25  0.349,296.71,49.03,38.83,43.93
1759,2016 26  0.349,297.04,47.48,37.27,42.37
1760,2016 27  0.354,297.68,48.65,31.98,40.31
1761,2016 28  0.365,298.64,55.79,25.22,40.5
1762,2016 29  0.366,298.85,58.37,26.87,42.62
1763,2016 30  0.364,298.72,61.31,29.47,45.39
1764,2016 31  0.362,298.53,63.14,28.97,46.06
1765,2016 32  0.359,298.14,63.37,27.9,45.63
1766,2016 33  0.355,297.73,63.02,20.12,41.57
1767,2016 34  0.350,296.63,64.29,18.17,41.23
1768,2016 35  0.340,295.4,64.91,17.06,40.98
1769,2016 36  0.330,294.67,66.06,9.73,37.89
1770,2016 37  0.306,292.43,62.39,18.78,40.59
1771,2016 38  0.275,289.81,54.44,30.11,42.27
1772,2016 39  0.229,285.76,40.13,59.98,50.05
1773,2016 40  0.192,282.04,30.96,81.02,55.99
1774,2016 41  0.164,279.08,25.61,85.77,55.69
1775,2016 42  0.134,274.86,17.91,93.13,55.52
1776,2016 43  0.109,271.05,13.22,93.11,53.16
1777,2016 44  0.091,268.33,12.36,88.11,50.23
1778,2016 45  0.077,265.85,11.91,83.93,47.92
1779,2016 46  0.067,263.08,14.61,82.18,48.39
1780,2016 47  0.060,260.25,18.17,76.13,47.15
1781,2016 48  0.059,259.7,25.58,67.69,46.63
1782,2016 49  0.062,260.77,32.72,56.09,44.41
1783,2016 50  0.061,260.83,34.6,52.82,43.71
1784,2016 51  0.061,261.03,36.1,46.17,41.13
1785,2016 52  0.062,260.93,37.42,42.0,39.71
1786,2017 01  0.065,262.13,42.77,32.41,37.59
1787,2017 02  0.069,262.81,42.64,30.36,36.5
1788,2017 03  0.073,263.22,43.38,30.72,37.05
1789,2017 04  0.076,263.55,44.22,33.08,38.65
1790,2017 05  0.078,263.96,42.76,38.08,40.42
1791,2017 06  0.077,264.17,38.97,43.65,41.31
1792,2017 07  0.076,264.69,35.3,48.18,41.74
1793,</pre></tt>,,,,
